Relevant Passage,,,,
Question,Answer,Passage,Type,Topik
"""Candi Borobudur adalah?""","""Candi Borobudur merupakan candi Buddha terbesar di dunia dan terbesar juga di Indonesia. Lokasi candi Borobudur ada di Kelurahan Borobudur, Kec. Borobudur, Kabupaten Magelang, Jawa Tengah""","""Candi Borobudur adalah sebuah kompleks candi Buddha yang terletak di Borobudur, Magelang, Jawa Tengah. Dibangun pada abad ke-8 Masehi pada masa pemerintahan Dinasti Syailendra, Candi Borobudur merupakan monumen Buddha terbesar di dunia.
Candi ini memiliki desain unik dengan bentuk punden berundak yang terdiri dari 10 tingkatan. Keseluruhan bangunan ini tersusun dari batu dan dihiasi oleh 2.672 panel relief dan 504 arca Buddha. Relief cerita ini mengisahkan tentang kehidupan Buddha dan konsep kosmologi Buddha Mahayana. Di puncak candi terdapat stupa utama yang melambangkan tempat pencerahan Buddha. Candi Borobudur merupakan candi Buddha terbesar di dunia dan terbesar juga di Indonesia. Lokasi candi Borobudur ada di Kelurahan Borobudur, Kec. Borobudur, Kabupaten Magelang, Jawa Tengah
Candi Borobudur diakui sebagai mahakarya seni arsitektur dan monument bersejarah dunia. Kompleks candi ini juga menjadi salah satu destinasi wisata budaya yang populer di Indonesia serta Situs Warisan Dunia UNESCO.""",Single,Sejarah
"""Apa itu candi?""","""Candi adalah bangunan tempat pemujaan umat Buddha atau Hindu di Indonesia yang umumnya dibangun dari batu dengan bentuk pyramid bertingkat dan memiliki ruangan di dalamnya.""","""Candi merupakan suatu bangunan arsitektur khas yang banyak ditemukan di Indonesia. Candi adalah bangunan tempat pemujaan umat Buddha atau Hindu di Indonesia yang umumnya dibangun dari batu dengan bentuk pyramid bertingkat dan memiliki ruangan di dalamnya. Umumnya candi dibangun dengan bahan utama batu dengan bentuk piramid bertingkat menyerupai gunung. Bangunan candi memiliki ruangan-ruangan di bagian dalamnya. Candi berfungsi sebagai tempat melakukan kegiatan keagamaan umat Hindu maupaun Buddha. Oleh karena itu, candi seringkali memiliki arca, patung, relief, atau hiasan yang bernuansa Hindu/Buddha.

Secara umum, ciri khas candi di Indonesia antara lain dibangun dari susunan batu tanpa menggunakan bahan perekat, memiliki denah bujursangkar atau persegi panjang, serta bentuknya yang piramid bertingkat melambangkan gunung Mahameru dalam mitologi Hindu-Buddha. Dengan demikian candi merupakan peninggalan purbakala Indonesia yang penting sebagai bukti kemajuan peradaban dan kebudayaan Nusantara di masa lalu.""",single,"Sejarah, Budaya"
"""Candi adalah?""","""Candi adalah bangunan tempat pemujaan umat Buddha atau Hindu di Indonesia yang umumnya dibangun dari batu dengan bentuk pyramid bertingkat dan memiliki ruangan di dalamnya.""","""Candi merupakan suatu bangunan arsitektur khas yang banyak ditemukan di Indonesia. Candi adalah bangunan tempat pemujaan umat Buddha atau Hindu di Indonesia yang umumnya dibangun dari batu dengan bentuk pyramid bertingkat dan memiliki ruangan di dalamnya. Umumnya candi dibangun dengan bahan utama batu dengan bentuk piramid bertingkat menyerupai gunung. Bangunan candi memiliki ruangan-ruangan di bagian dalamnya. Candi berfungsi sebagai tempat melakukan kegiatan keagamaan umat Hindu maupaun Buddha. Oleh karena itu, candi seringkali memiliki arca, patung, relief, atau hiasan yang bernuansa Hindu/Buddha.

Secara umum, ciri khas candi di Indonesia antara lain dibangun dari susunan batu tanpa menggunakan bahan perekat, memiliki denah bujursangkar atau persegi panjang, serta bentuknya yang piramid bertingkat melambangkan gunung Mahameru dalam mitologi Hindu-Buddha. Dengan demikian candi merupakan peninggalan purbakala Indonesia yang penting sebagai bukti kemajuan peradaban dan kebudayaan Nusantara di masa lalu.""",single,"Sejarah, Budaya"
"""Apakah perbedaan candi Buddha dengan candi Hindu?""","""Ada 3 perbedaan yang mencolok antara Candi Buddha dan Candi Hindu, seperti stupa (Buddha) - pura (hindu), Relief, dan arsitektur khas.""","""Perbedaan antara candi Buddha dan Hindu mencakup beberapa aspek seperti aristektur, Relief, bentuk-bentuk pemujaan, dan sebagainya tergantung konteks sejarah candi. Berikut beberapa contoh perbedaannya:
1. Stupa - Pura:
- Candi Buddha: Umumnya memiliki struktur stupa yang menggambarkan pencerahan Buddha. Stupa adalah struktur bulat yang melambangkan perjalanan menuju pencerahan.
- Candi Hindu: Memiliki bentuk pura atau kuil yang lebih kompleks, dengan ruang pemujaan, altars, dan patung-patung dewa.
2. Relief:
- Candi Buddha: Menggambarkan ajaran Buddha, kehidupan Buddha, dan jalan menuju pencerahan. Simbol-simbol seperti Roda Dharma sering digunakan.
- Candi Hindu: Menggambarkan mitologi Hindu, cerita epik seperti Mahabharata atau Ramayana, dan penggambaran dewa atau dewi Hindu.
3. Arsitektur:
- Candi Buddha: Arsitektur yang sederhana dan simetris, dengan stupa sebagai fokus utama.
- Arsitektur yang mungkin lebih kompleks, dengan kuil-kuil yang mencakup ruang-ruang dan struktur yang lebih bervariasi.""",single,"Budaya, Arsitektur"
x,"""Candi Borobudur dibuat menggunakan batu andesit vulkanik yang berasal dari lokasi sekitar candi Borobudur saat itu. Bukan tanpa alasan karena batu andesit sendiri merupakan batuan beku vulkanik yang biasa digunakan untuk membangun bangunan megalitik, candi, piramida, dsb.""","""Candi Borobudur merupakan salah satu warisan budaya Indonesia yang juga telah diakui sebagai salah satu warisan budaya dunia. Candi Borobudur tersusun oleh andesit yang jika diteliti secara lebih spesifik memiliki karakteristik yang berbeda-beda, sehingga memiliki tingkat kerusakan dan pelapukan yang berebeda. Penentuan karakteristik batu candi Borobudur didasarkan pada parameter sifat fisik, komposisi kimia, dan mineralogi batuan. Candi Borobudur dibuat menggunakan batu andesit vulkanik yang berasal dari lokasi sekitar candi Borobudur saat itu. Bukan tanpa alasan karena batu andesit sendiri merupakan batuan beku vulkanik yang biasa digunakan untuk membangun bangunan megalitik, candi, piramida, dsb. Batu candi yang berwarna gelap memiliki densitas lebih besar dibandingkan batu candi yang berwarna cerah karena kandungan ferro magnesium-nya lebih tinggi. Selain itu batu candi yang berwarna gelap mampu menyerap panas lebih besar dibandingkan dengan batu candi yang berwarna cerah.""",single,"Arsitektur, budaya"
"""Berapakah berat setiap batu yang digunakan untuk membangun candi Borobudur?""","""Candi Borobudur menggunakan batu andesit yang ditumpuk dan disambung dengan pola agar mengikat. Berat batu yang digunakan bervariasi yaitu sekitar 25x10x15 cm dengan berat jenis 1,6 - 2,0 t/m3 dan berat setiap balok batu diperkirakan kisaran 7,5 - 10 kg""","""Candi ini berbentuk tapak persegi ukuran panjang ± 123 m, lebar ± 123 m dan tinggi ± 42 m. Andesit yg digunakan sekitar 60.000 meter kubik dan berjumlah 2.000.000 balok batu dipotong, dipahat dan dirangkai saling mengunci (interlock) menutupi sebuah bukit kecil. Ukuran Dimensi balok batuan berkisar 25 x 10 x 15 cm dengan berat jenis 1,6-2,0 t/m3 maka berat per potongan batu sekitar 7,5 – 10 kg.""",single,arstektur
"""Ada berapa jumlah batu pada Candi Borobudur?""","""Bahan dasar Candi Borobudur adalah 2.000.000 buah batu andesit."" ","""Bahan dasar Candi Borobudur adalah 2.000.000 lembar batu andesit, dan setiap satu batu beratnya ratusan kilogram. Hebatnya, tidak ada semen yang digunakan untuk mengaglutinasi batubatu ini. Batu demi batu adalah tinggal disambung satu sama lain, yaitu batu atas dan bawah, batu kiri dan kanan, serta batu depan dan belakang. Jika candi diproyeksi dari langit, hasilnya adalah Candi Borobudur dan pahatannya relatif simetris. Konstruksi Borobudur berbentuk tanah datar bertingkat yang mempunyai 10 lantai.""",single,"Arsitektur, Budaya"
Bagaimana kehidupan masyarakat hindu dan budha mataram kuno?,"Masyarakat Kerajaan Matarama Kuno terdiri atas agama Hindu dan agama Buddha. Namun, mereka tetap hidup rukun dan saling bertoleransi. Hal itu dibuktikan dalam pembangunan candi Borobudur","""Masyarakat Hindu dan Buddha di Mataram Kuno, Jawa Tengah, mengalami kehidupan yang terstruktur berdasarkan sistem kasta Hindu. Masyarakat terbagi dalam berbagai kasta, menciptakan stratifikasi sosial yang dinamis. Dua agama utama, Hindu dan Buddha, memainkan peran penting dalam kehidupan rohaniah dengan adanya kuil-kuil megah seperti Candi Prambanan. Pertanian maju dan perdagangan laut yang aktif mendukung perekonomian. Seni dan budaya berkembang pesat, tercermin dalam arsitektur candi, seni pertunjukan seperti wayang kulit, dan tari tradisional. Warisan budaya Hindu dan Buddha tetap menjadi ciri khas Jawa Tengah, menciptakan fondasi identitas kultural yang kokoh.""",single,Budaya 
Apa saja peninggalan candi kerajaan Mataram Kuno?,Candi Borobudur dan Candi Mendut merupakan peninggalan kerajaan Mataram Kuno,"""Kerajaan Mataram Kuno yang pernah berjaya di Jawa Tengah pada abad ke-8 hingga 10 Masehi banyak meninggalkan peninggalan berupa bangunan suci Buddha atau yang disebut candi. Beberapa candi utama peninggalan Mataram Kuno antara lain adalah Candi Borobudur yang terletak di Magelang, Candi Mendut di Kabupaten Magelang, Candi Kalasan di Sleman, Candi Pawon di Klaten, serta Candi Plaosan dan Sojiwan di dekat Prambanan.
",single,Sejarah
Kapan candi Borobudur pertama kali ditemukan?,Candi Borobudur pertama kali ditemukan pada masa kolonial sekitar tahun 1814 oleh Sir Thomas Stamford Raffles.,"""Menjelang tahun 1814, Borobudur muncul dalam dunia ilmu pengetahuan modern. Sir Thomas Stamford Raffles, Letnan Gubernur Jenderal lnggris pada masa pemerintahan lnggris yang singkat (1811-1816) menugasi seorang insinyur mengadakan penyelidikan. 200 orang bertugas menebangi pohon, membakari semak-semak, dan menggali tanah yang mengubur seluruh candi itu. Pada tahun 1835 Borobudur akhirnya bertengger bebas di atas bukit dengan bagian kakinya terselubung. Antara tahun 1890-1891 seluruh kaki terselubung itu dibuka dan panelpanel relief yang sudah lama terpendam itu dipotret sebelum 12.000 meter kubik batu tersebut ditata kembali. """,single,Sejarah
