Unnamed: 0,Pertanyaan,Jawaban
0.0,Apa sebab terjadinya pelestarian Borobudur semenjak abad ke-19,"Studi dan pelestarian Borobudur telah berlangsung sejak abad ke-19. Candi Borobudur telah 3 kali dipugar, yaitu pada tahun 1814-1822 oleh Thomas Stamford Raffles, kedua tahun 1907-1911 oleh Theodoor van Erp dan pemugaran besar terakhir pada tahun 1973-1983 oleh Pemerintah Indonesia dan UNESCO."
1.0,Berapa jumlah total relief di Borobudur,"Berdasarkan informasi yang ada, Borobudur memiliki total 2.672 panel relief."
2.0,Apa kegunaan lorong sempit yang terbentuk oleh pagar langkan,"Lorong sempit yang terbentuk oleh pagar langkan di sekeliling teras di Borobudur memiliki kegunaan penting dalam memastikan keamanan dan keselamatan para pengunjung. Lorong ini juga membantu para pengunjung untuk berjalan dengan aman dan nyaman di sekeliling teras, sehingga mereka dapat menikmati keindahan relief dan stupa di Borobudur dengan lebih baik."
3.0,Apa fungsi stupa besar di puncak Borobudur,Stupa besar di puncak Borobudur berfungsi sebagai simbol keagamaan dan sebagai tempat untuk menaruh artefak-artefak berharga.
4.0,Berapa jumlah stupa di Borobudur dan apa tujuan dari pembuatan stupa itu sendiri,Borobudur memiliki 72 stupa dan satu stupa besar di puncaknya. Stupa di Borobudur memiliki tujuan untuk menyimpan puing-puing kota yang telah dihancurkan oleh para pendeta Buddha.
,Di mana studi dan pelestarian Borobudur dimulai pada abad ke-19,Studi dan pelestarian Borobudur telah berlangsung sejak abad ke-19.
,Berapa kali Borobudur telah dipugar,"Borobudur telah 3 kali dipugar, yaitu pada tahun 1814-1822 oleh Thomas Stamford Raffles, kedua tahun 1907-1911 oleh Theodoor van Erp dan pemugaran besar terakhir pada tahun 1973-1983 oleh Pemerintah Indonesia dan UNESCO."
,Siapakah Sailendra dan apa hubungannya dengan Candi Borobudur,Dinasti Sailendra adalah penguasa di wilayah tersebut. Candi Borobudur didirikan sebagai tempat pemujaan Buddha dan tempat ziarah. Candi ini dirancang untuk memberikan petunjuk kepada manusia agar menjauhi nafsu dunia dan mencari pencerahan serta kebijaksanaan menurut ajaran Buddha.
,Mengapa Borobudur dianggap sebagai peninggalan Buddha yang terbesar di dunia,Borobudur dianggap sebagai peninggalan Buddha yang terbesar di dunia karena merupakan candi Buddha terbesar di dunia yang dibangun antara tahun 780-840 Masehi.
,Mengapa Borobudur didirikan sebagai tempat pemujaan Buddha dan tempat ziarah,Borobudur didirikan sebagai tempat pemujaan Buddha dan tempat ziarah karena Candi ini dirancang untuk memberikan petunjuk kepada manusia agar menjauhi nafsu dunia dan mencari pencerahan serta kebijaksanaan menurut ajaran Buddha.
,Siapakah Sailendra dan apa hubungannya dengan Candi Borobudur,Dinasti Sailendra adalah penguasa di wilayah tersebut. Candi Borobudur didirikan sebagai tempat pemujaan Buddha dan tempat ziarah. Candi ini dirancang untuk memberikan petunjuk kepada manusia agar menjauhi nafsu dunia dan mencari pencerahan serta kebijaksanaan menurut ajaran Buddha.
,Mengapa Borobudur dianggap sebagai peninggalan Buddha yang terbesar di dunia,Borobudur dianggap sebagai peninggalan Buddha yang terbesar di dunia karena merupakan candi Buddha terbesar di dunia yang dibangun antara tahun 780-840 Masehi.
,Mengapa Borobudur didirikan sebagai tempat pemujaan Buddha dan tempat ziarah,Borobudur didirikan sebagai tempat pemujaan Buddha dan tempat ziarah karena Candi ini dirancang untuk memberikan petunjuk kepada manusia agar menjauhi nafsu dunia dan mencari pencerahan serta kebijaksanaan menurut ajaran Buddha.
,Siapa yang mendirikan Candi Borobudur,Dinasti Sailendra
,Kapan Candi Borobudur didirikan,Candi Borobudur didirikan antara tahun 780-840 Masehi
,Candi Borobudur dibuat untuk keperluan apa,Candi Borobudur dibuat sebagai tempat pemujaan Buddha dan tempat ziarah.
,Candi Borobudur memiliki konsep arsitektur apa,Candi Borobudur memiliki konsep arsitektur Mandala yang mencerminkan pandangan Buddha tentang alam semesta.
,Bagaimana Candi Borobudur ditemukan,Candi Borobudur ditemukan oleh tentara Inggris pada tahun 1814 di bawah pimpinan Sir Thomas Stamford Raffles.
,Mengapa Borobudur dirancang dengan gaya arsitektur Mandala,Borobudur dirancang dengan gaya arsitektur Mandala karena mencerminkan pandangan Buddha tentang alam semesta.
,Apa perbedaan antara zona luar dan zona pusat di Borobudur,"Zona luar melambangkan alam dunia, sedangkan zona pusat melambangkan alam Nirwana."
,Apakah Borobudur merupakan candi Buddha yang terbesar di dunia,Borobudur merupakan candi Buddha yang terbesar di dunia
